City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kilgore,32.3863,-94.8758,27.16,65,40,3.09,US,1726372153
1,enewetak,11.3474,162.3373,29.19,77,100,6.35,MH,1726372154
2,marsabit,2.3284,37.9899,16.06,61,19,8.25,KE,1726372156
3,whitehorse,60.7161,-135.0538,9.89,63,81,1.34,CA,1726372056
4,port-aux-francais,-49.35,70.2167,0.56,63,90,14.13,TF,1726372158
5,moroni,-11.7022,43.2551,24.79,75,1,1.44,KM,1726372159
6,touros,-5.1989,-35.4608,22.06,86,1,5.08,BR,1726372160
7,holualoa,19.6228,-155.9522,24.03,89,48,1.46,US,1726372161
8,iqaluit,63.7506,-68.5145,3.85,80,20,0.0,CA,1726372162
9,mamuju,-2.6748,118.8885,29.4,62,98,1.71,ID,1726372163
10,gasa,31.5,34.4667,26.74,66,35,3.51,PS,1726372164
11,san patricio,28.017,-97.5169,27.97,79,93,4.7,US,1726372166
12,port mathurin,-19.6833,63.4167,20.64,62,83,11.29,MU,1726372167
13,siuna,13.7332,-84.7773,23.9,97,86,0.4,NI,1726372168
14,urucara,-2.5364,-57.76,28.13,50,9,1.2,BR,1726372169
15,edinburgh of the seven seas,-37.0676,-12.3116,12.71,80,53,7.86,SH,1726372170
16,grytviken,-54.2811,-36.5092,-2.11,76,20,5.27,GS,1726372171
17,irthlingborough,52.3267,-0.6113,9.89,89,48,3.62,GB,1726372172
18,lai chau,22.3997,103.4517,26.03,70,48,1.19,VN,1726372173
19,adamstown,-25.066,-130.1015,19.71,70,59,6.62,PN,1726372175
20,arkhangel'sk,64.5401,40.5433,14.06,88,20,2.0,RU,1726372176
21,tolanaro,-25.0319,46.9987,20.04,83,0,5.14,MG,1726372177
22,hamilton,39.1834,-84.5333,24.3,62,0,3.6,US,1726372028
23,vorgashor,67.5833,63.95,14.45,83,22,6.3,RU,1726372179
24,portland,45.5234,-122.6762,17.01,89,100,2.06,US,1726372044
25,moissala,8.3404,17.7663,22.69,98,99,0.96,TD,1726372181
26,waitangi,-43.9535,-176.5597,11.01,98,100,2.68,NZ,1726372182
27,dryden,49.7833,-92.7503,20.16,77,0,3.6,CA,1726371902
28,margaret river,-33.95,115.0667,19.1,42,0,4.15,AU,1726372184
29,keflavik,64.0049,-22.5624,5.24,81,0,5.14,IS,1726372186
30,la'ie,21.6477,-157.9253,28.66,73,1,2.24,US,1726372187
31,bria,6.5423,21.9863,21.52,97,100,0.65,CF,1726372188
32,buseresere,-3.0236,31.8747,18.72,44,5,2.94,TZ,1726372189
33,blackmans bay,-43.0167,147.3167,12.07,57,71,0.89,AU,1726372190
34,invercargill,-46.4,168.35,6.12,95,100,4.47,NZ,1726372191
35,port shepstone,-30.7414,30.455,17.77,89,99,3.11,ZA,1726371959
36,bethel,41.3712,-73.414,19.53,92,0,0.0,US,1726372158
37,noumea,-22.2763,166.4572,21.16,71,65,5.72,NC,1726372195
38,ilha de mocambique,-15.0342,40.7358,25.21,78,3,4.37,MZ,1726372084
39,qaqortoq,60.7167,-46.0333,4.29,93,100,2.36,GL,1726372197
40,malango,-2.9627,119.9001,28.12,46,94,2.01,ID,1726372198
41,tura,25.5198,90.2201,23.68,96,100,2.32,IN,1726372199
42,lebu,-37.6167,-73.65,8.53,81,92,6.39,CL,1726372200
43,stanley,54.868,-1.6985,14.04,85,75,4.12,GB,1726372072
44,jamestown,42.097,-79.2353,19.8,90,0,1.54,US,1726371944
45,vallenar,-28.5708,-70.7581,14.16,64,0,0.94,CL,1726372205
46,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,31,0,5.0,RU,1726371923
47,coahuayana de hidalgo,18.7,-103.6583,26.21,87,100,0.92,MX,1726372207
48,santana,-0.0583,-51.1817,27.1,89,20,3.6,BR,1726372208
49,anadyr,64.75,177.4833,8.28,81,100,5.0,RU,1726372209
50,bridgewater,44.3835,-64.5155,9.5,92,16,1.45,CA,1726372210
51,chibougamau,49.9168,-74.3659,12.79,94,0,1.03,CA,1726372211
52,la passe,45.5549,-0.8967,9.49,70,21,4.67,FR,1726372212
53,bredasdorp,-34.5322,20.0403,11.24,92,52,2.11,ZA,1726372213
54,yellowknife,62.456,-114.3525,12.29,86,75,3.09,CA,1726372215
55,colonia,50.9333,6.95,7.36,89,75,1.03,DE,1726372133
56,ulan bator,47.9077,106.8832,14.07,54,40,4.0,MN,1726372161
57,arraial do cabo,-22.9661,-42.0278,21.78,91,43,1.63,BR,1726372218
